"섹션","내용"
"개요","국제우편 운송 중 분실·도난·파손 등으로 재산상 손해 발생 시 규정에 따라 배상"
"청구권자","배달 전: 보내는 분 / 배달 후: 보내는 분 또는 받는 분(보내는 분이 청구권 포기 시)"
"청구권자","보내는 분은 상대방을 위해 청구권 포기 가능. 보내는 분 또는 받는 분은 국내법에 따라 제3자에게 손해배상금 수령권 위임 가능"
"지급국가","외국 발송 우편물: 우리나라 접수우체국(취급국 제외)에서 손해배상금 지급"
"지급국가","외국에서 도착한 우편물: 발송국의 접수우체국에서 지급 (경우에 따라 우리나라 우체국에서 지급 가능)"
"청구요건_EMS","EMS: 발송일 이후 4개월 이내 행방조사 청구 후 손해배상 청구"
"청구요건_소포","국제소포·국제등기: 접수 다음날부터 6개월 이내 행방조사 청구 후 손해배상 청구"
"청구요건_배달보장","※ 배달보장서비스 행방조사 청구: 접수 후 30일 이내"
"불가사유","1) 화재, 천재지변 등 불가항력에 의한 분실·도난·파손"
"불가사유","2) 보내는 분의 귀책사유 (포장부실, 내용품 성질로 인한 훼손 등)"
"불가사유","3) 금지물품 해당으로 관계 당국에 의해 압수 또는 폐기된 경우"
"불가사유","4) 받는 분이 이의 없이 우편물을 수취한 경우"
"비고","※ 지연배달로 인한 간접손실 또는 수익의 손실은 배상하지 않음"
"비고","※ 실손해액은 세관신고에서 기입한 가격 기준으로 측정 (정확한 신고 필수)"
"EMS프리미엄_절차","UPS 고객센터(1588-5027) → 파손조사 신청 → UPS 조사팀 파손조사 → 손해배상 여부·배상액 결정 → 결정내역 이메일 통보 → 배상액 지급"
"EMS프리미엄_청구요건","수령일로부터 14일 이내 파손조사 청구. 행방조사는 접수 후 3개월 이내"
"EMS프리미엄_청구권자","발송인 (발송인이 권리 포기 시 수취인에게 있음)"
"EMS프리미엄_불가","1) 화재·천재지변 등 불가항력적 이유로 분실·파손·도난"
"EMS프리미엄_불가","2) 보내는 분의 귀책사유 또는 내용물 특성으로 파손·훼손"
"EMS프리미엄_불가","3) 도착국가 국내법에 따라 압수되어 발송국에 통지된 우편물"
"EMS프리미엄_불가","4) 내용품이 금지물품에 해당되어 관계 당국이 몰수·폐기한 우편물"
