국가,주요발송조건,면세기준,특이사항
미국(US),전자송장(EAD) 필수. 식품 사전신고(FDA) 필요. 육류·식물류 검역 필요,800달러 이하 면세,리튬배터리 IATA 규정 준수. 향수 등 알코올 함유 제품 불가
일본(JP),1~4지역 요금 구분. 전자송장 필수. 식물류 검역,1만엔 이하 면세(WTO 기준),APO/FPO 군사주소 발송 불가. 1지역: 마카오·몽골 등 포함
중국(CN),수취인 신분증 번호 기재 필요. 정확한 내용품 신고 필수,50위안(약 8달러) 이하 면세,음식류·화장품 등 엄격한 통관 검사. 지재권 등록 브랜드 주의
영국(GB),전자송장 필수. EORI 번호 필요할 수 있음,135파운드 이하 면세(브렉시트 후),브렉시트로 EU 규정 미적용. VAT 부과 가능
독일(DE),EU 관세법 적용. 전자송장 필수,150유로 이하 면세,개인용 물품 150유로 초과 시 관세+부가세 부과
프랑스(FR),EU 관세법 적용. 전자송장 필수,150유로 이하 면세,EU 규정 동일 적용. IOSS 등록 필요할 수 있음
호주(AU),생물안전 규정 매우 엄격. 음식·동식물 검역,"1,000호주달러 이하 면세",목재·목재포장재 엄격 검역. 생물보안법 위반 시 우편물 반송 또는 파기
캐나다(CA),전자송장 필수. 음식·동식물 검역,20캐나다달러 이하 면세,USMCA 원산지 증명 필요할 수 있음
홍콩(HK),전자송장 필수. 비교적 간단한 통관,면세 (홍콩은 자유무역항),중국 본토와 다른 통관 절차 적용
싱가포르(SG),전자송장 필수. GST(소비세) 7% 부과,400싱가포르달러 이하 GST 면세,의약품·식품 엄격 규제. 전자담배 완전 금지
