국가,코드,URL
한국,KR,http://www.kipris.or.kr/
홍콩,HK,http://ipsearch.ipd.gov.hk/index.html
유럽,EU,http://euipo.europa.eu/eSearch/
미국,US,http://www.uspto.gov/trademarks/index.jsp
호주,AU,http://www.ipaustralia.gov.au/
영국,GB,http://www.ipo.gov.uk/types/tm/t-os/t-find/tmtext.htm
독일,DE,https://register.dpma.de/DPMAregister/marke/einsteiger
중국,CN,http://202.127.48.145:8888/zscq/search/jsp/vBrandSearchIndex.jsp
중국 상표,CN,http://www.tmkoo.com/index.html
전세계 지적재산권 (브랜드),GLOBAL,http://www.wipo.int/branddb/en/#
전세계 특허,GLOBAL,https://app.patentcloud.com/index.html
