"무게_kg","운임_KRW"
"0.1","6900"
"0.2","8500"
"0.3","10000"
"0.4","11800"
"0.5","13800"
"0.6","15100"
"0.7","16500"
"0.8","17800"
"0.9","19100"
"1.0","20000"
"1.1","20800"
"1.2","22000"
"1.3","23300"
"1.4","25100"
"1.5","26400"
"1.6","27600"
"1.7","28900"
"1.8","30100"
"1.9","32000"
"2.0","33200"
"2.5","37600"
"3.0","44000"
"3.5","50400"
"4.0","56600"
"4.5","62900"
"5.0","70700"
"5.5","76900"
"6.0","83100"
"6.5","89400"
"7.0","98600"
"7.5","104700"
"8.0","110800"
"8.5","116900"
"9.0","122900"
"9.5","135100"
"10.0","142200"
"10.5","148300"
"11.0","154300"
"11.5","193000"
"12.0","199600"
"12.5","206300"
"13.0","212900"
"13.5","219600"
"14.0","226200"
"14.5","232900"
"15.0","240500"
"15.5","247100"
"16.0","269300"
"16.5","276900"
"17.0","284900"
"17.5","292400"
"18.0","300200"
"18.5","312300"
"19.0","320400"
"19.5","328000"
"20.0","337300"
"20.5","344400"
"21.0","351800"
"21.5","358900"
"22.0","365000"
"22.5","370700"
"23.0","376400"
"23.5","382100"
"24.0","387800"
"24.5","393600"
"25.0","400000"
"25.5","407000"
"26.0","413800"
"26.5","420600"
"27.0","427300"
"27.5","433800"
"28.0","440300"
"28.5","446800"
"29.0","453500"
"29.5","461400"
"30.0","467900"
